#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,PLATFORM
1,Khabane lame @khaby.lame,161.9M,0.2%,Italy,Entertainment and Music Comedy Content Creator Viral Content,TikTok
2,Bella Poarch @bellapoarch,92.6M,0.8%,United States,Entertainment and Music Singer Content Creator Social Media Influencer,TikTok
3,Addison Rae @addisonre,88.5M,1%,United States,Beauty and Self Care Dance Entertainment Social Media Influencer,TikTok
4,MrBeast @mrbeast,85.4M,4%,United States,Entertainment and Music Content Creator Philanthropy Viral Content,TikTok
5,Zach King @zachking,78.1M,2.9%,United States,Entertainment and Music Magic Digital Content Visual Effects,TikTok
6,Kimberly Loaiza @kimberly.loaiza,76.1M,1.6%,Mexico,Entertainment and Music Lifestyle Content Creator Latin Music,TikTok
7,The Rock @therock,74.2M,0.9%,United States,Entertainment and Music Fitness and Health Business Celebrity,TikTok
8,Will Smith @willsmith,74.1M,0.7%,United States,Entertainment and Music Actor Celebrity Content Creator,TikTok
9,cznburak @cznburak,72M,0.2%,Turkey,Food and Cooking Entertainment Content Creator Chef,TikTok
10,Jason Derulo @jasonderulo,58.9M,0.4%,United States,Entertainment and Music Singer Dance Performance,TikTok
11,Kylie Jenner @kyliejenner,56M,3.2%,United States,Beauty and Self Care Fashion and Accessories Lifestyle Celebrity,TikTok
12,Karol G @karolg,51.9M,3.8%,Colombia,Entertainment and Music Singer Latin Music Celebrity,TikTok
13,Michael Le @justmaiko,51.4M,-,United States,Dance Entertainment Content Creator Choreography,TikTok
14,BTS @bts_official_bighit,51M,1%,South Korea,Entertainment and Music K-pop Music Group Celebrity,TikTok